F,t,#ev,,ap
43.5838,53.2865,10000,82,25
43.6202,55.9301,10000,71,24
43.5547,46.3918,10000,73,25
43.6957,47.7043,10000,82,25
44.0701,51.9804,10000,79,25
43.3325,55.9501,10000,76,22
43.7001,51.3783,10000,72,25
43.4646,52.7906,10000,75,25
43.7527,49.7885,10000,74,25
44.5436,52.9524,10000,81,25
43.6233,58.3302,10000,79,25
43.2413,46.8027,10000,84,25
43.5048,53.7363,10000,75,25
43.6487,48.2727,10000,77,25
43.8307,48.4908,10000,75,25
43.4123,51.0888,10000,75,24
43.7089,48.2349,10000,78,25
43.7102,48.1883,10000,74,25
43.4383,55.5541,10000,74,25
43.2308,52.4334,10000,76,25
43.8583,50.7637,10000,76,25
43.6402,50.2804,10000,79,24
43.7785,43.1228,10000,86,25
43.4649,50.674,10000,77,24
43.4939,56.3504,10000,80,24
43.231,48.504,10000,74,25
43.4698,47.503,10000,80,25
43.5157,47.2939,10000,78,25
44.0988,53.8132,10000,73,25
44.0191,47.8121,10000,71,23
44.8509,55.1948,10000,74,25
43.326,55.5711,10000,77,25
44.0835,52.3133,10000,80,25
43.7548,55.5154,10000,75,25
44.0042,57.1472,10000,78,25
43.4232,57.6618,10000,75,25
43.5485,56.323,10000,75,24
43.7176,48.0868,10000,80,25
43.3457,51.6416,10000,75,25
43.7547,46.5682,10000,78,25
44.0815,49.0079,10000,75,25
44.1173,45.5822,10000,73,25
43.6681,46.7569,10000,77,25
44.5826,54.4173,10000,77,24
44.0845,55.9096,10000,79,25
43.8262,52.4392,10000,75,25
45.1022,54.8824,10000,84,24
44.8249,49.1236,10000,83,24
44.0958,51.3675,10000,72,25
44.0102,47.6462,10000,75,25
44.2813,52.3257,10000,76,24
43.6821,52.6857,10000,78,24
45.2445,40.9317,10000,75,25
44.9144,55.5606,10000,80,24
44.6265,54.3847,10000,79,22
43.4345,47.7778,10000,72,25
43.7876,48.5247,10000,77,24
43.6781,52.3842,10000,78,25
45.2608,62.1287,10000,85,25
44.0025,59.8574,10000,74,24
43.8939,61.7701,10000,76,25
43.7905,49.7619,10000,81,24
44.0701,50.0968,10000,80,25
43.9753,52.6006,10000,74,25
44.6822,45.0321,10000,77,25
43.7568,47.3334,10000,71,25
43.4294,60.3757,10000,77,25
44.0935,49.1354,10000,83,25
44.0579,47.8367,10000,75,25
43.767,52.5279,10000,75,25
44.1383,49.5808,10000,77,24
43.938,49.6695,10000,83,25
44.6024,58.1314,10000,77,23
44.6293,47.5487,10000,76,24
44.7923,55.3676,10000,78,24
43.957,49.6997,10000,77,25
44.3514,57.5414,10000,80,25
43.9307,46.84,10000,80,25
43.5848,56.3921,10000,87,24
43.6165,49.4444,10000,75,24
44.0022,46.5476,10000,81,25
44.1309,48.3987,10000,79,25
43.9553,39.6753,10000,77,25
43.6506,50.9481,10000,76,25
43.603,50.4525,10000,76,25
44.214,50.5181,10000,80,24
43.9274,58.5532,10000,78,25
43.9586,48.6079,10000,75,25
43.9775,56.4641,10000,80,25
44.1373,49.0113,10000,77,25
43.7652,54.3441,10000,77,24
43.549,47.7718,10000,77,25
43.8051,50.6926,10000,77,25
43.8175,47.8661,10000,81,25
44.1777,48.1827,10000,75,24
43.8633,48.2706,10000,74,25
43.6257,46.4891,10000,72,25
44.1075,52.8299,10000,75,24
44.2045,45.7427,10000,77,25
43.8559,52.0125,10000,78,25
43.79,54.7925,10000,78,25
43.6438,52.3575,10000,80,25
44.1703,46.223,10000,72,25
44.1636,56.4107,10000,86,25
44.632,50.9771,10000,84,23
44.0984,59.0811,10000,83,25
44.1283,51.2143,10000,82,25
43.694,57.2573,10000,77,25
43.6726,47.6498,10000,72,25
43.8044,52.3966,10000,73,25
44.0244,47.6472,10000,75,25
44.037,63.1238,10000,76,25
43.8541,35.8975,10000,81,24
44.1139,47.9484,10000,78,25
44.1348,53.6801,10000,79,25
43.627,49.8599,10000,75,24
43.9878,48.7801,10000,78,25
43.8218,58.6113,10000,76,25
43.8234,52.7713,10000,75,25
44.1066,49.4045,10000,78,24
43.779,51.0297,10000,83,23
44.0798,52.1059,10000,83,25
44.1862,56.2827,10000,87,24
43.9063,45.701,10000,75,24
43.9344,54.0863,10000,79,25
43.9681,53.9204,10000,82,25
43.8356,48.735,10000,79,25
44.1371,54.0999,10000,76,25
44.2885,48.9636,10000,76,25
44.1259,47.4936,10000,79,24
44.4723,47.0421,10000,74,25
44.1253,45.6001,10000,76,24
43.9183,50.1207,10000,85,25
44.6038,43.0154,10000,77,24
43.9849,47.4137,10000,83,25
44.4829,54.4617,10000,79,25
43.8475,43.3011,10000,92,24
44.0856,52.2608,10000,75,25
43.8055,48.3099,10000,85,25
44.036,48.9377,10000,76,25
44.3953,45.1991,10000,83,25
44.1869,51.8099,10000,82,25
44.2355,49.6456,10000,77,25
44.1413,44.2986,10000,81,23
43.9801,56.7419,10000,75,25
43.5399,48.0073,10000,82,25
43.7017,51.9319,10000,77,24
43.9539,56.2992,10000,78,25
43.6668,51.5864,10000,82,25
44.1743,51.4211,10000,80,25
43.9448,54.7096,10000,82,25
44.017,51.6029,10000,76,24
43.9913,58.4578,10000,78,23
44.1319,48.0902,10000,82,24
43.5972,51.8362,10000,81,25
43.922,45.3067,10000,83,25
44.1078,48.7438,10000,77,25
43.9074,58.7786,10000,86,25
43.9381,43.7787,10000,71,25
43.7825,55.0532,10000,75,25
44.4797,51.5506,10000,80,24
43.6835,45.7986,10000,81,25
44.583,54.1282,10000,73,25
44.0251,46.6648,10000,77,25
44.2495,53.9316,10000,79,25
44.1233,43.3564,10000,85,25
43.7081,57.9377,10000,75,25
43.9396,47.2575,10000,82,25
44.532,45.7777,10000,70,25
43.6194,44.4963,10000,80,25
44.2676,41.0425,10000,79,25
43.9134,48.7638,10000,76,25
43.9651,38.6652,10000,80,25
43.7335,45.2889,10000,78,25
43.7192,46.5767,10000,77,25
43.7962,46.8029,10000,76,25
43.6645,45.956,10000,80,23
43.8579,51.891,10000,78,25
44.0488,52.2837,10000,84,24
43.82,50.7212,10000,81,25
43.733,48.95,10000,75,24
43.8052,50.2627,10000,77,23
43.524,60.0158,10000,81,25
43.6333,55.9313,10000,77,25
43.4588,54.344,10000,77,24
43.5284,46.3778,10000,73,25
43.863,51.7698,10000,74,23
43.5742,49.8768,10000,85,24
44.1154,57.5726,10000,78,24
43.5064,48.9998,10000,88,25
43.9155,44.1412,10000,82,25
43.7494,48.1848,10000,85,23
44.0331,46.7087,10000,76,25
44.0033,51.2912,10000,79,24
43.9013,49.1253,10000,77,25
43.8883,55.0693,10000,74,25
43.4528,47.3654,10000,78,25
43.8109,53.1526,10000,81,25
43.5746,48.9761,10000,83,24
43.6659,50.743,10000,73,25
43.7268,47.362,10000,76,25
43.9093,49.3113,10000,75,23
44.0688,34.2031,10000,75,25
43.7217,49.7845,10000,75,24
43.9015,54.1786,10000,82,25
43.4077,46.4291,10000,79,24
43.3627,47.6211,10000,83,25
43.4968,45.5468,10000,79,25
43.7212,46.5575,10000,71,25
43.6173,47.1702,10000,81,24
43.5179,48.7433,10000,79,25
43.8249,50.9139,10000,82,24
43.6224,48.6384,10000,77,24
43.9752,44.6959,10000,77,25
43.8607,43.4546,10000,81,25
43.6907,52.0785,10000,79,25
44.0471,57.9667,10000,80,25
43.328,50.1844,10000,86,21
43.7736,49.9449,10000,79,24
44.1077,47.8999,10000,76,25
43.336,52.4747,10000,72,25
43.5845,45.7688,10000,77,25
43.5086,46.2015,10000,73,25
43.5511,54.4437,10000,74,24
44.0888,54.3625,10000,77,25
43.5811,46.6792,10000,85,24
43.8472,50.2493,10000,72,25
43.9945,44.5234,10000,75,25
43.7591,47.6126,10000,75,23
43.8536,47.5911,10000,80,25
44.0351,46.6756,10000,76,25
43.7221,46.9178,10000,78,24
44.0594,37.2161,10000,72,25
43.5846,48.5678,10000,70,25
43.5738,51.4393,10000,82,25
43.5746,54.8176,10000,73,25
43.9457,46.2937,10000,72,25
43.6312,49.4965,10000,81,25
43.8175,56.2986,10000,71,25
43.297,54.0027,10000,73,24
43.9064,55.8112,10000,78,23
44.0124,49.7579,10000,77,24
43.8713,52.7975,10000,77,25
43.9002,46.2609,10000,79,25
43.5115,56.666,10000,74,25
43.8103,51.1152,10000,72,25
44.391,60.132,10000,76,25
44.1459,51.1478,10000,72,22
44.3582,51.6582,10000,71,25
43.6834,49.8448,10000,75,25
43.6271,49.1745,10000,73,25
43.9052,54.7853,10000,76,25
43.5933,47.9868,10000,80,24
44.4223,54.1591,10000,75,25
43.7689,47.7601,10000,77,25
44.2253,48.3826,10000,73,25
43.8603,52.4215,10000,79,25
44.2195,48.7388,10000,73,25
43.951,45.0495,10000,74,25
44.0072,55.652,10000,75,25
44.0655,48.1087,10000,74,25
43.6689,55.6622,10000,84,25
43.3879,41.7079,10000,79,25
44.0054,47.2531,10000,73,25
43.4436,54.9615,10000,86,23
43.8393,48.9451,10000,75,25
44.0642,47.7854,10000,81,24
43.8845,48.3786,10000,72,25
44.4616,49.4128,10000,82,25
44.1167,47.6029,10000,74,24
43.7757,48.0939,10000,76,25
44.2375,49.2647,10000,74,25
44.175,44.0035,10000,78,25
44.4774,48.9518,10000,81,25
44.2838,49.9406,10000,80,25
44.0147,45.1765,10000,76,25
44.3641,51.3978,10000,79,25
44.3869,54.4799,10000,79,24
44.1064,46.7888,10000,74,25
44.5765,44.9744,10000,70,25
43.9344,57.1378,10000,78,25
44.0812,47.6194,10000,78,25
44.2616,43.2865,10000,76,22
44.2187,48.3776,10000,74,25
44.0067,47.965,10000,82,24
44.2644,59.21,10000,76,25
44.9798,53.3494,10000,77,25
