F,t,#ev,,ap
47.35,121.19,4589,58,25
48.65,163.05,7093,60,25
49.07,111.86,4257,60,25
47.80,141.94,5357,61,25
48.33,133.17,5046,61,25
48.58,124.08,4819,59,25
46.76,137.63,5272,61,25
46.71,171.69,6538,63,25
47.52,108.21,4240,59,25
46.67,195.10,7471,63,25
48.87,91.65,3533,60,25
47.02,107.90,3968,59,25
47.04,125.28,4822,62,25
46.47,165.12,6298,63,25
47.17,130.85,4839,62,25
47.52,145.99,5528,60,25
49.31,130.30,5043,60,25
47.76,140.16,6124,62,25
47.76,101.85,4215,59,25
49.48,112.64,4189,63,25
46.66,134.57,7323,64,25
46.74,176.37,6565,62,25
48.77,117.67,4770,58,25
48.05,120.38,4360,60,25
48.49,106.86,3973,59,25
47.51,130.78,4912,61,25
47.29,117.63,4142,59,25
46.68,121.17,4557,59,25
46.70,209.36,7964,68,25
48.09,128.34,4995,62,25
47.00,165.84,6312,61,25
48.60,116.58,4447,61,25
48.50,118.37,4315,61,25
48.39,109.89,4147,60,25
47.32,156.05,5844,62,25
46.68,145.86,5486,63,25
47.33,167.05,6514,61,25
48.07,142.51,5487,63,25
47.55,122.29,4820,61,25
47.09,107.40,4258,61,25
47.65,140.85,5423,59,25
47.19,206.13,7160,62,25
46.94,181.57,6941,60,25
47.82,184.71,7372,63,25
48.45,176.03,6980,61,25
47.28,151.16,5859,63,25
48.49,165.95,6292,62,25
47.07,152.75,6281,65,25
47.68,146.95,5896,65,25
47.84,154.50,5721,64,25
46.53,110.37,5285,63,25
48.15,118.40,4484,61,25
47.76,133.96,4980,62,25
47.01,131.41,4722,63,25
50.09,97.88,3637,57,25
47.03,185.55,7205,63,25
46.67,170.54,6431,60,25
47.95,127.20,4953,60,25
48.87,207.02,8264,64,25
48.32,98.97,4052,60,25
48.64,136.97,5102,60,25
50.39,110.47,4172,58,25
46.43,239.45,9527,66,25
46.75,219.75,8568,64,25
49.16,109.67,4005,62,25
47.01,162.95,6258,63,25
49.44,127.74,4898,58,25
49.11,162.70,6015,60,25
46.89,206.51,7768,63,25
48.94,123.78,4899,60,25
46.88,192.81,7883,61,25
48.87,146.44,5704,61,25
48.06,128.52,4756,63,25
48.52,130.33,4992,62,25
47.26,187.37,7385,64,25
48.81,118.35,4799,59,25
47.02,179.51,6645,64,25
46.22,192.13,7957,65,25
47.12,163.98,7154,63,25
48.53,153.44,5992,63,25
51.11,62.97,3797,59,25
47.74,153.03,5866,63,25
47.81,173.27,6410,63,25
48.54,158.66,6043,62,25
47.38,255.66,9816,62,25
48.58,105.95,3667,61,25
47.56,147.88,5547,61,25
48.07,134.71,5287,62,25
48.69,123.98,4519,59,25
46.83,155.12,5651,63,25
46.97,147.55,5661,64,25
49.54,150.87,5508,60,25
48.79,119.31,4610,61,25
47.21,197.80,7473,61,25
47.73,116.74,4441,61,25
49.06,144.82,5908,61,25
48.56,104.93,3961,61,25
46.67,140.44,5342,62,25
47.65,145.25,5356,60,25
47.44,138.42,5119,60,25
48.74,180.04,6674,59,25
48.87,121.40,4832,59,25
49.23,114.07,4224,60,25
47.58,154.94,5805,61,25
50.56,120.77,4459,58,25
47.69,175.82,6715,63,25
48.38,152.60,5978,62,25
48.39,144.86,5891,61,25
48.83,121.32,4895,62,25
48.57,110.16,4172,63,25
48.38,82.90,5360,63,25
47.97,113.27,4133,61,25
48.69,124.21,4680,64,25
47.96,132.39,4794,61,25
48.38,122.54,4626,60,25
46.79,172.99,6706,64,25
48.31,150.85,6217,61,25
48.77,130.23,4676,60,25
46.54,165.83,6288,62,25
48.34,109.83,4140,60,25
47.23,141.43,5378,65,25
47.65,125.82,4578,60,25
50.37,90.94,3222,59,25
48.49,140.22,5624,63,25
48.83,166.43,6156,58,25
49.43,95.16,3429,60,25
46.95,150.25,5231,63,25
49.42,123.81,4736,59,25
48.53,85.72,3079,57,25
48.07,124.47,4691,62,25
49.61,108.24,4191,59,25
50.49,82.12,3099,58,25
48.79,82.96,3081,58,25
49.04,93.63,3622,58,25
46.87,165.65,6503,64,25
46.35,175.73,6690,62,25
49.14,86.19,3205,60,25
47.95,119.75,4735,62,25
49.24,75.63,3308,58,25
47.69,118.21,4444,62,25
47.53,113.82,6779,61,25
51.04,75.31,2606,59,25
47.74,125.65,4610,62,25
48.83,127.65,4958,62,25
49.08,80.86,2942,57,25
47.72,161.18,5833,61,25
48.99,75.27,2631,59,25
47.58,119.51,4642,60,25
50.73,123.02,4596,60,25
48.01,146.74,5827,62,25
46.94,166.88,6344,64,25
46.85,129.09,4611,60,25
48.14,173.89,6666,62,25
47.81,120.53,4652,61,25
48.56,151.58,5901,63,25
47.27,168.40,6726,63,25
46.40,196.52,7436,66,25
47.62,158.81,6102,61,25
47.54,121.77,4562,61,25
48.53,109.49,4304,60,25
47.63,114.88,4512,59,25
47.94,117.07,4353,62,25
47.31,145.39,5526,63,25
46.83,145.49,5518,63,25
47.46,215.30,8131,63,25
49.47,81.63,2943,61,25
47.79,156.23,5961,64,25
51.58,68.19,2828,58,25
48.30,118.53,4829,61,25
47.36,120.24,4530,61,25
48.80,88.21,4959,59,25
46.44,197.77,7883,62,25
48.23,182.55,6958,62,25
47.94,135.11,4902,60,25
47.31,98.06,3885,62,25
46.70,189.12,7472,63,25
47.45,98.58,3589,60,25
49.19,146.60,5400,60,25
49.66,65.68,2430,57,25
47.05,136.85,5471,62,25
47.41,140.38,5344,63,25
46.61,85.26,3500,61,25
47.60,116.07,4721,62,25
48.69,100.76,4083,61,25
47.85,115.86,4722,60,25
48.84,103.05,3900,60,25
48.88,73.05,2798,59,25
