F,t,#ev,,ap
43.3812,59.0075,10000,91,25
43.2061,55.952,10000,93,24
43.3198,57.1761,10000,90,25
44.2584,54.0496,10000,86,24
43.3913,53.1535,10000,93,25
43.072,56.6014,10000,84,24
43.3584,51.5874,10000,91,24
43.2981,55.2555,10000,95,25
43.1659,65.956,10000,90,25
43.4877,55.8201,10000,94,24
43.931,55.1329,10000,94,25
44.4161,54.8256,10000,95,24
43.4226,58.3488,10000,95,25
43.7676,60.8419,10000,96,24
43.9957,63.0617,10000,93,25
43.8119,54.003,10000,90,24
43.8994,55.2949,10000,85,25
43.5756,55.4193,10000,87,25
43.5138,61.1021,10000,87,25
44.2433,56.9549,10000,95,24
43.5041,61.2311,10000,89,25
44.6725,60.8449,10000,84,24
43.8284,50.771,10000,90,25
43.4769,67.299,10000,88,25
43.4917,58.4832,10000,99,25
43.5042,54.9988,10000,89,25
43.237,60.575,10000,88,25
43.2032,59.402,10000,90,25
43.442,59.0628,10000,92,24
43.3179,63.9569,10000,84,25
43.9392,55.1144,10000,90,25
43.741,54.9476,10000,87,25
44.0354,63.1121,10000,85,25
43.3226,65.0899,10000,84,25
44.0522,62.2141,10000,90,25
43.295,62.2549,10000,88,25
43.3576,58.1463,10000,85,25
43.7873,60.8728,10000,92,25
44.0648,56.0132,10000,94,25
43.9386,64.571,10000,95,25
44.9394,56.7678,10000,88,25
43.7897,66.0762,10000,87,25
43.6594,55.9624,10000,88,25
44.4984,54.9296,10000,84,25
43.5652,69.1434,10000,83,25
43.6735,53.1746,10000,92,25
44.4561,64.2858,10000,93,25
44.4709,57.7356,10000,86,25
43.5532,60.5763,10000,93,25
44.1724,58.9099,10000,97,25
43.2116,66.7878,10000,87,25
44.063,58.2711,10000,86,25
43.6511,56.6958,10000,90,25
44.2397,60.6925,10000,87,25
44.3249,56.5456,10000,86,25
43.4392,53.9864,10000,86,25
44.3887,67.0057,10000,90,25
43.74,61.7048,10000,89,25
44.01,68.2369,10000,100,25
43.7007,55.1799,10000,88,24
44.0037,54.8184,10000,92,25
43.7873,55.5825,10000,87,25
43.997,60.8919,10000,89,25
43.9329,57.4559,10000,95,25
44.0752,58.3177,10000,92,23
44.2098,61.8358,10000,98,25
44.3328,57.6744,10000,99,24
44.2266,58.0712,10000,94,25
43.7527,63.3185,10000,85,24
44.2216,58.9536,10000,96,25
44.5379,66.5196,10000,87,25
43.6388,60.0738,10000,86,25
43.7598,54.1919,10000,91,24
43.9767,61.8898,10000,87,25
43.6666,59.1508,10000,89,25
43.9176,61.9715,10000,81,25
43.8732,58.014,10000,88,25
44.2546,55.3797,10000,92,25
43.8615,62.7266,10000,93,25
43.6475,57.1942,10000,86,25
43.7589,58.1022,10000,89,25
43.8471,58.4106,10000,90,23
44.41,56.091,10000,93,25
44.417,56.4429,10000,85,25
43.5452,60.0726,10000,85,25
43.9868,61.0077,10000,87,25
43.9314,56.8521,10000,91,25
43.4275,55.9212,10000,89,25
44.2088,54.9479,10000,96,25
43.5217,54.4377,10000,91,24
44.0797,55.3334,10000,91,24
44.3912,54.2835,10000,89,25
43.885,62.5833,10000,95,25
44.1101,66.7145,10000,87,25
44.2712,53.6039,10000,92,25
43.2998,70.2445,10000,90,25
44.2248,62.4313,10000,90,25
45.1364,61.2637,10000,97,24
43.7898,57.421,10000,91,25
44.0087,59.1711,10000,95,25
44.1811,56.5774,10000,98,24
44.0413,57.0976,10000,95,24
44.6281,57.0072,10000,91,25
43.5372,55.7614,10000,89,25
44.2437,63.5501,10000,83,25
44.0173,69.0944,10000,93,25
43.9601,61.1882,10000,93,25
43.9134,55.2772,10000,85,25
43.9148,65.3218,10000,95,25
44.3828,55.6447,10000,95,24
43.6372,61.7166,10000,92,25
44.3089,54.4701,10000,91,24
44.1287,63.5572,10000,89,25
44.1802,53.3705,10000,95,24
43.9192,53.0593,10000,98,25
44.5759,60.0607,10000,90,24
44.0087,62.2125,10000,86,24
43.8434,54.5232,10000,93,23
44.0096,68.3161,10000,92,25
43.8917,56.7609,10000,90,24
43.9927,52.3699,10000,96,25
43.8471,53.7898,10000,98,25
43.7304,59.6005,10000,93,25
44.2243,56.7199,10000,94,24
43.3537,63.0019,10000,92,25
43.6769,68.4592,10000,82,25
44.4684,54.0226,10000,89,25
44.044,56.6572,10000,94,25
43.93,63.489,10000,92,25
43.8597,56.3327,10000,94,25
44.015,56.0574,10000,92,25
43.8175,66.0463,10000,89,24
43.5997,66.0399,10000,88,25
43.4699,61.3064,10000,90,25
43.9041,64.6382,10000,91,25
43.9173,59.3905,10000,93,25
43.7497,56.9374,10000,88,25
44.0599,53.5726,10000,89,25
43.7941,56.9779,10000,93,25
44.1842,58.0616,10000,88,25
43.4902,63.327,10000,90,25
43.6953,63.5638,10000,90,25
44.2361,68.2364,10000,92,25
43.3872,58.7228,10000,93,25
43.9333,59.8762,10000,90,23
44.4754,65.5502,10000,94,24
43.8352,56.4342,10000,90,25
44.0453,58.1586,10000,83,25
44.2378,51.2143,10000,95,24
44.2552,66.8593,10000,93,25
44.262,67.9898,10000,95,25
43.6989,55.8608,10000,89,24
44.8267,57.7085,10000,86,24
44.0458,52.7855,10000,96,24
43.717,64.8864,10000,92,25
44.0882,56.5493,10000,93,25
44.0374,65.9282,10000,92,25
44.0742,56.9775,10000,85,25
43.6334,64.2365,10000,84,25
43.5005,61.55,10000,91,25
44.4205,54.1028,10000,93,24
44.0458,54.3983,10000,95,24
43.6776,55.7717,10000,84,25
44.276,62.0058,10000,90,25
43.9019,55.4399,10000,88,25
44.5155,52.6368,10000,92,25
44.0982,59.1882,10000,93,25
43.47,58.3566,10000,87,25
44.4097,56.2902,10000,91,25
44.0011,57.4618,10000,92,25
43.7289,61.1072,10000,84,25
43.8637,66.0095,10000,92,25
43.8581,57.309,10000,94,25
43.9994,54.9831,10000,91,25
43.5211,56.7188,10000,90,25
44.3157,52.8549,10000,94,25
44.0006,54.4316,10000,84,25
43.8122,61.4215,10000,97,25
44.2098,62.7753,10000,92,25
43.5698,66.9062,10000,84,25
44.0218,54.6857,10000,94,25
44.1743,50.1555,10000,87,25
43.5309,52.2021,10000,83,25
43.101,57.7846,10000,91,25
43.4291,55.8579,10000,95,24
43.7546,66.54,10000,91,25
43.4126,56.4255,10000,90,25
43.6113,61.8388,10000,86,25
44.117,57.4447,10000,93,25
44.0876,59.1873,10000,92,25
44.0016,63.0935,10000,86,25
43.4762,52.9769,10000,87,25
44.1702,57.9422,10000,87,25
43.6499,55.685,10000,95,24
43.6342,55.5342,10000,88,25
43.4257,57.2709,10000,93,25
43.2142,64.5343,10000,93,24
43.2325,58.4217,10000,88,25
43.357,60.778,10000,84,25
44.0604,55.2562,10000,97,24
43.563,53.081,10000,84,25
43.5429,60.1951,10000,99,24
43.6685,52.2579,10000,95,25
44.2569,58.8703,10000,90,25
43.7944,55.1434,10000,92,25
43.7787,60.839,10000,92,24
43.8543,53.2851,10000,93,24
43.457,54.4068,10000,92,23
44.4458,54.6938,10000,90,25
43.5553,62.1503,10000,86,25
43.4863,56.087,10000,86,25
44.8145,57.4903,10000,93,24
43.5928,58.6883,10000,88,24
43.9339,57.5831,10000,84,25
43.6067,57.571,10000,82,25
43.7968,56.2232,10000,86,25
43.5507,61.4997,10000,92,25
43.3801,58.114,10000,92,25
43.9167,62.3812,10000,91,25
43.5379,60.3295,10000,95,25
43.9295,66.6977,10000,86,25
43.6625,57.2617,10000,93,25
43.8117,55.5554,10000,93,25
43.9909,65.4111,10000,89,24
43.8302,64.9883,10000,86,25
44.3267,53.8141,10000,94,25
44.1334,55.4884,10000,89,25
43.8715,57.1601,10000,91,25
43.8184,48.7806,10000,89,25
43.83,50.7535,10000,84,25
43.6013,56.7676,10000,88,25
44.3648,58.0993,10000,87,24
43.6411,59.4855,10000,86,25
43.6869,59.1737,10000,92,25
43.8051,60.077,10000,92,25
43.9316,55.4105,10000,82,24
44.0698,56.2341,10000,89,25
43.6613,56.3409,10000,86,25
43.3635,62.2993,10000,87,24
43.6479,57.0639,10000,89,25
43.8147,52.1683,10000,93,25
43.6377,54.6825,10000,91,24
44.1097,56.3151,10000,90,25
43.9344,53.2921,10000,87,24
44.4438,52.3544,10000,99,25
44.1084,61.6531,10000,89,25
44.4144,54.5527,10000,95,25
43.7313,67.3992,10000,86,24
43.8425,61.4137,10000,86,25
43.636,52.3074,10000,93,25
43.5546,61.8164,10000,93,25
44.6544,63.654,10000,87,25
44.1462,64.4836,10000,84,25
44.1125,58.233,10000,89,25
44.1481,60.5511,10000,94,25
44.3262,51.9763,10000,89,25
43.4796,61.2729,10000,90,25
43.9614,54.6454,10000,90,25
43.9163,56.7554,10000,96,25
43.9016,57.2143,10000,90,24
44.3394,55.4913,10000,96,25
43.7785,51.2851,10000,92,25
43.7767,59.5334,10000,88,25
43.9057,54.1369,10000,87,24
43.8439,54.5215,10000,94,25
44.0975,57.2711,10000,88,25
44.1135,62.7784,10000,95,25
44.0638,55.3478,10000,85,25
43.7543,65.0025,10000,94,25
43.5314,57.5949,10000,95,24
43.7472,68.0685,10000,90,25
44.1813,57.1466,10000,94,25
44.4396,57.7124,10000,97,25
44.3992,63.1333,10000,96,25
45.0961,63.8109,10000,92,25
44.1919,64.4567,10000,91,25
44.2288,51.1274,10000,92,24
44.0033,63.3587,10000,90,25
44.2947,60.7414,10000,89,25
44.2854,54.8921,10000,88,24
44.1971,62.9817,10000,93,25
44.2993,60.3843,10000,90,24
44.6967,55.8334,10000,93,25
44.5704,56.4146,10000,92,24
44.2093,53.3888,10000,95,25
44.4785,51.9548,10000,93,25
43.7667,61.0305,10000,92,25
43.9943,61.8404,10000,89,25
44.5673,56.3062,10000,90,25
44.7251,65.5541,10000,94,25
44.786,52.2248,10000,97,25
43.734,59.2212,10000,88,25
45.2122,55.6836,10000,86,25
44.0717,56.9824,10000,97,25
44.1483,56.1865,10000,90,25
44.2722,52.8714,10000,84,25
45.0426,59.9151,10000,94,25
44.6999,54.4434,10000,86,24
44.1089,57.3483,10000,89,25
44.7246,53.6911,10000,92,25
44.301,60.4594,10000,93,24
44.3722,55.2287,10000,94,25
44.3066,55.2852,10000,87,25
44.5553,58.882,10000,92,22
45.0268,60.4119,10000,92,24
44.3175,52.4588,10000,91,25
45.3344,59.0371,10000,90,25
44.034,59.051,10000,94,25
44.1579,57.5805,10000,92,25
43.8417,53.6512,10000,94,25
44.4032,58.1523,10000,96,24
44.3124,59.6024,10000,88,25
44.244,58.7801,10000,89,25
44.7068,55.2854,10000,93,24
43.7672,56.4527,10000,93,24
44.4557,57.6339,10000,95,24
44.2057,55.9141,10000,96,25
44.1333,52.419,10000,85,24
44.1354,61.8975,10000,85,25
44.0077,55.8825,10000,89,24
44.0523,61.4818,10000,90,25
44.0247,53.6453,10000,91,25
44.7948,51.2209,10000,95,24
43.7828,56.5798,10000,87,25
44.0539,53.863,10000,86,25
44.449,53.1484,10000,89,25
44.1528,53.2338,10000,94,25
43.7694,54.2534,10000,91,25
43.8947,60.8781,10000,94,25
43.906,55.6046,10000,94,25
44.0538,61.2532,10000,89,25
43.861,53.4571,10000,95,24
43.6825,57.1915,10000,86,25
44.0583,54.1312,10000,88,24
43.4352,52.8846,10000,95,25
43.8576,55.4171,10000,85,24
43.6522,53.6891,10000,92,24
44.386,63.4151,10000,88,23
44.1839,63.7515,10000,94,25
43.6768,51.7176,10000,95,24
43.6933,69.4597,10000,97,25
43.8568,52.6339,10000,99,24
43.7012,57.0591,10000,91,24
44.1718,60.1433,10000,96,24
44.049,51.3601,10000,96,25
44.1663,53.1718,10000,92,25
43.7594,59.2993,10000,89,25
43.7626,60.1669,10000,96,25
44.0553,62.6917,10000,93,25
44.3443,55.6583,10000,91,25
44.3713,57.1915,10000,92,25
43.6321,54.846,10000,98,25
44.1417,60.1431,10000,93,25
43.6004,58.4568,10000,88,25
44.2589,54.949,10000,93,24
44.0769,63.86,10000,86,25
44.1721,59.1152,10000,91,25
44.4107,65.1409,10000,95,25
44.3013,52.0173,10000,99,25
43.5248,53.088,10000,90,24
43.7351,62.7724,10000,94,23
44.1369,60.4767,10000,95,25
43.6666,54.664,10000,92,24
43.9305,64.1003,10000,89,25
44.0041,60.4956,10000,96,25
43.2523,62.7752,10000,91,25
43.7597,66.5273,10000,88,25
43.5737,53.3665,10000,92,23
43.6094,57.538,10000,91,25
44.313,59.3145,10000,91,25
44.0478,55.2281,10000,97,24
44.0254,65.0555,10000,92,25
43.2474,57.2884,10000,90,23
43.8298,55.3818,10000,92,25
43.811,61.4556,10000,91,25
43.824,58.708,10000,93,24
43.6018,55.5286,10000,90,25
44.1156,66.1215,10000,91,24
43.8511,52.0025,10000,98,23
43.5834,56.1351,10000,86,25
43.8042,70.4979,10000,94,25
43.9886,57.1156,10000,84,25
44.3378,64.4327,10000,88,24
43.8759,55.46,10000,89,25
43.9133,60.3874,10000,94,25
43.8421,55.6833,10000,93,24
44.5515,60.8993,10000,95,24
43.5658,60.9206,10000,94,25
43.4768,55.0906,10000,88,25
43.4826,57.3629,10000,87,25
43.7927,59.5726,10000,89,25
43.2366,53.9202,10000,93,25
43.2725,59.7422,10000,96,24
43.9982,61.5894,10000,92,25
43.3155,51.9025,10000,98,25
43.3844,57.4866,10000,97,25
43.4253,58.6815,10000,90,25
43.7029,49.8368,10000,93,25
43.3882,55.0467,10000,91,25
43.2709,56.1542,10000,96,24
42.9899,55.0154,10000,90,25
43.2474,58.044,10000,91,24
43.6695,65.5106,10000,94,25
43.2202,54.47,10000,99,25
43.3864,61.6968,10000,94,25
43.9888,57.42,10000,89,25
43.4514,61.6201,10000,94,25
43.8885,56.2505,10000,89,24
43.5981,62.5436,10000,91,24
43.5727,53.6483,10000,99,25
43.853,55.6326,10000,91,24
43.6796,59.2213,10000,92,25
43.3123,53.0139,10000,83,24
43.7253,62.4446,10000,90,25
43.0286,64.4628,10000,91,25
