F,t,#ev,,ap
43.75,35.06,4522,90,25
44.08,41.25,5747,86,24
44.09,39.60,5427,83,25
43.80,38.03,5771,86,24
43.64,42.20,6159,92,25
43.72,38.90,5174,90,25
44.75,34.51,4547,90,25
43.75,37.57,5343,95,25
44.10,39.29,5643,85,25
43.95,46.62,6848,92,25
44.19,33.87,4294,91,24
44.50,30.72,4015,84,25
44.33,31.72,3927,84,25
44.56,42.50,6129,94,25
44.17,49.71,7878,90,25
43.95,35.94,4646,86,25
44.06,37.83,5315,90,25
44.04,41.12,6172,86,25
43.61,55.85,7096,89,25
44.61,33.59,4362,89,25
43.72,43.75,5969,85,25
44.08,37.18,4979,89,25
43.95,43.83,6724,90,25
44.14,36.61,4587,88,24
44.38,37.46,4828,89,25
44.01,37.13,5375,82,25
43.60,37.20,5886,79,25
43.84,39.27,5158,90,25
43.94,39.59,5834,92,25
43.66,34.37,4470,89,24
44.11,47.74,7044,91,25
44.10,42.51,5937,84,24
44.45,46.00,6731,99,25
44.23,47.25,6908,86,24
44.66,40.34,5597,93,25
43.92,41.56,5643,86,24
43.91,53.37,7990,86,25
43.72,46.04,6636,94,25
43.72,32.23,4609,89,24
44.65,44.29,6192,88,25
44.40,35.13,4953,82,25
44.45,39.10,5262,85,25
44.23,36.89,4609,93,25
44.52,47.37,7935,89,25
43.71,37.25,5205,91,25
44.15,46.98,6934,90,25
44.14,42.42,5570,94,24
43.90,41.06,5833,89,25
44.34,48.21,8674,96,25
44.15,35.41,5269,90,25
44.16,32.81,4759,87,25
44.57,37.09,4870,85,25
43.94,43.56,6728,94,25
44.19,47.09,7021,89,25
44.12,35.06,4669,90,25
44.78,35.93,4869,87,25
44.60,32.74,4403,93,25
43.92,38.14,4910,96,25
43.90,40.04,5403,87,25
44.31,36.80,5553,89,25
44.75,37.11,4622,99,25
44.40,48.21,7452,95,25
45.29,32.90,4331,93,25
44.29,38.37,5190,87,25
44.29,42.78,7646,92,25
44.00,46.30,6643,92,24
44.44,39.80,5484,94,25
44.49,48.47,7698,88,25
44.45,39.72,5497,89,25
44.59,39.45,5103,90,24
44.73,38.20,5323,92,25
44.71,35.04,4437,90,24
44.30,40.40,5481,94,24
44.55,44.30,6775,93,25
43.91,53.47,6585,93,24
44.27,42.69,6496,90,25
44.63,46.55,7615,89,25
45.67,33.45,5512,97,24
45.05,35.24,5519,94,24
43.94,40.50,4930,88,25
45.44,27.32,4793,89,25
44.56,42.10,6188,93,25
44.29,41.39,5953,92,24
44.75,39.14,5543,83,25
45.37,35.74,4676,91,25
44.91,34.45,4584,89,23
44.21,41.65,5814,87,25
44.89,42.52,6418,90,25
44.44,32.66,4229,92,24
44.58,37.59,5408,95,25
44.32,44.06,6765,87,25
44.56,37.46,5327,93,25
45.29,36.93,5017,96,25
44.33,44.07,6638,89,25
45.48,29.28,3598,86,25
44.16,38.87,5340,90,25
44.22,42.85,6263,91,25
43.98,42.75,5985,91,25
44.53,36.19,4900,93,25
44.42,34.68,4762,85,25
44.54,34.86,4711,92,25
44.79,37.30,4952,92,24
43.77,39.36,5994,90,25
44.72,38.23,5143,91,24
44.92,35.34,4870,94,24
44.78,31.31,4364,87,24
44.81,34.47,4462,85,25
44.37,30.07,3713,89,25
44.06,41.75,6394,91,25
44.08,45.19,7090,92,25
45.10,38.64,5177,97,25
43.79,41.35,5897,87,25
44.08,42.12,5880,87,25
44.82,33.67,4476,89,25
44.27,37.21,5267,94,25
43.94,33.15,4254,92,25
44.19,30.62,4144,93,24
43.91,58.72,9663,94,25
44.08,36.48,5068,89,25
43.90,42.75,6206,95,24
43.70,36.58,5284,89,25
44.46,29.10,3392,87,23
43.44,42.91,6456,95,25
43.88,47.16,7054,85,25
43.76,41.04,5425,91,25
44.45,47.52,7001,92,23
44.24,39.48,5320,90,24
43.85,42.51,6049,98,25
44.48,35.15,4962,92,25
44.06,40.11,6035,97,25
44.02,45.08,6086,91,24
44.34,37.02,4821,95,25
44.07,48.09,7777,97,25
44.40,39.65,5901,95,25
43.79,35.56,5162,91,24
44.09,38.13,4872,93,25
