F,t,#ev,,ap
48.339,221.636,10000,59,25
48.3071,252.164,10000,58,25
47.4627,245.122,10000,60,25
49.1713,259.305,10000,60,25
47.7477,212.291,10000,58,25
49.1254,256.445,10000,58,25
47.4821,240.735,10000,61,25
47.1994,214.85,10000,57,25
50.3137,236.258,10000,57,25
46.8576,231.073,10000,58,25
46.2894,234.539,10000,57,25
46.8425,228.637,10000,57,25
48.4784,272.332,10000,58,25
49.0345,231.105,10000,59,25
46.8949,245.67,10000,59,25
48.6781,233.864,10000,58,25
49.0594,244.917,10000,56,25
47.1613,228.091,10000,57,25
48.0432,243.596,10000,57,25
49.0006,237.141,10000,59,25
48.7698,240.627,10000,58,25
48.2582,236.985,10000,58,25
48.1277,213.574,10000,57,25
47.7945,249.002,10000,59,25
47.4336,224.463,10000,59,25
47.9348,246.826,10000,59,25
47.04,219.111,10000,59,25
46.6304,227.483,10000,58,25
47.3466,219.125,10000,57,25
46.0047,246.627,10000,60,25
47.6594,217.009,10000,59,25
48.2094,244.727,10000,57,25
47.758,211.071,10000,58,25
47.1934,232.098,10000,59,25
47.8783,198.648,10000,59,25
47.673,209.69,10000,59,25
47.1154,259.295,10000,62,25
48.0749,216.13,10000,58,25
49.723,217.514,10000,57,25
47.6304,258.317,10000,59,25
46.8009,227.936,10000,58,25
48.2677,245.173,10000,59,25
48.6254,257.101,10000,59,25
48.9854,250.184,10000,61,25
48.2007,235.364,10000,58,25
48.9068,242.056,10000,60,25
47.3257,236.574,10000,57,25
48.9251,195.584,10000,57,25
47.4936,223.507,10000,58,25
48.3201,233.165,10000,59,25
49.4892,249.248,10000,57,25
48.7859,220.162,10000,60,25
48.6584,243.929,10000,59,25
47.1817,225.929,10000,59,25
49.9261,236.854,10000,58,25
49.0422,212.037,10000,58,25
49.8606,223.992,10000,59,25
48.6249,234.406,10000,58,25
48.0649,261.708,10000,58,25
48.6399,243.494,10000,59,25
47.5923,220.001,10000,59,25
48.2871,219.897,10000,59,25
47.791,241.384,10000,59,25
49.2934,245.834,10000,58,25
47.8694,240.161,10000,60,25
47.5242,229.745,10000,59,25
48.9811,198.151,10000,59,25
