F,t,#ev,,ap
43.8132,67.6017,10000,64,25
43.8226,62.9461,10000,72,25
43.4846,62.6107,10000,69,25
43.6526,66.355,10000,68,25
43.5351,70.3701,10000,73,25
43.5858,65.2655,10000,65,25
43.6355,66.5281,10000,66,25
43.2464,77.7393,10000,72,25
43.4296,68.0823,10000,68,25
43.2527,67.0142,10000,71,25
43.6017,62.8883,10000,71,25
43.6129,68.0224,10000,70,25
43.4516,72.3333,10000,72,25
43.5521,74.1012,10000,72,25
43.6291,68.7477,10000,70,25
43.58,64.6634,10000,65,25
43.7616,72.2164,10000,66,25
43.0416,60.6631,10000,73,25
43.6121,68.7458,10000,66,25
43.1067,64.8922,10000,69,25
43.6269,59.6056,10000,70,25
43.9599,61.2686,10000,65,25
43.5478,45.7303,10000,66,25
43.5469,71.316,10000,71,25
43.1923,65.1595,10000,67,25
43.0173,64.2921,10000,67,25
43.5155,74.0196,10000,67,25
43.4766,70.0173,10000,72,25
43.7495,67.5875,10000,72,25
43.6164,66.8261,10000,72,25
43.5905,65.3365,10000,67,25
43.712,75.3993,10000,66,25
43.9769,65.1345,10000,68,25
43.7628,66.4887,10000,72,25
44.3455,61.8784,10000,69,25
43.5223,62.1473,10000,72,25
43.5041,71.3551,10000,68,25
43.7117,71.1161,10000,72,25
43.447,64.8735,10000,66,25
44.0182,68.6076,10000,70,25
44.0524,66.0607,10000,67,25
43.7874,72.6133,10000,65,25
43.66,57.6896,10000,68,25
43.3699,63.7863,10000,70,24
43.88,61.5591,10000,65,25
44.5165,70.35,10000,67,25
43.9375,63.6649,10000,66,25
43.7603,58.0589,10000,72,25
44.0791,60.4619,10000,66,25
43.4727,67.8813,10000,67,25
44.1101,54.3704,10000,71,25
44.5588,65.9776,10000,66,25
44.3766,43.3509,10000,62,25
43.7887,63.9529,10000,67,25
43.8419,72.4304,10000,67,25
44.2793,71.4157,10000,65,25
43.6425,61.5841,10000,66,25
44.1001,61.4554,10000,68,25
43.4631,62.296,10000,68,25
44.0375,65.7882,10000,67,25
43.8403,65.5972,10000,69,25
44.4892,63.106,10000,66,25
43.6393,70.7579,10000,69,25
44.1621,70.0326,10000,66,25
44.1476,70.4505,10000,72,25
44.3901,68.2972,10000,70,25
43.5458,65.1742,10000,71,25
44.0965,64.2076,10000,71,25
43.8341,63.8001,10000,70,25
43.9149,71.3049,10000,75,25
44.553,62.4577,10000,68,25
43.5133,61.7268,10000,74,25
43.8489,58.804,10000,72,25
44.0017,61.6284,10000,69,25
44.0414,63.2437,10000,78,25
43.6658,67.4596,10000,68,25
43.9142,60.2951,10000,63,25
44.5033,61.5927,10000,75,25
44.156,65.7545,10000,71,25
43.7371,61.2134,10000,73,25
44.0052,46.5239,10000,71,25
43.7773,65.7142,10000,72,25
44.2407,44.9719,10000,66,25
43.75,67.8918,10000,76,25
43.8081,64.4127,10000,70,25
43.8443,73.2395,10000,67,25
43.7664,67.6926,10000,71,25
44.4005,65.339,10000,68,25
44.3408,62.3945,10000,70,25
44.6486,63.1231,10000,69,25
44.3039,70.6305,10000,71,25
43.9553,71.7886,10000,69,25
43.9592,63.3611,10000,70,25
43.7442,64.9481,10000,68,25
44.044,60.1789,10000,70,25
43.7944,67.2747,10000,70,25
43.9643,60.8087,10000,70,25
43.9637,62.7056,10000,64,25
43.7867,64.1094,10000,68,25
44.0573,65.8579,10000,67,25
44.1317,59.8738,10000,65,25
44.0474,70.3264,10000,71,25
43.994,60.8776,10000,71,25
43.9253,71.9974,10000,68,25
