F,t,#ev,,ap
43.65,32.36,5704,73,25
43.98,44.29,9261,77,25
43.87,47.34,9576,79,25
43.70,45.78,8865,77,25
44.21,37.78,6876,73,25
43.54,38.92,7008,78,25
43.98,37.56,6777,72,25
44.23,33.77,6136,73,25
43.38,42.92,9008,74,25
43.58,47.70,9896,77,25
43.51,50.71,9752,73,25
43.81,30.40,5402,71,25
44.09,50.71,9976,77,25
43.58,46.63,9898,85,24
44.03,32.82,6442,71,25
44.16,32.94,6419,73,25
43.76,47.55,9525,74,25
43.85,39.27,6871,71,25
44.04,44.96,9988,76,25
43.78,40.79,7405,73,25
44.08,34.95,7635,71,25
43.65,31.94,5403,68,25
43.58,38.71,6588,79,25
43.62,39.64,7320,70,25
43.95,46.53,9204,72,25
43.64,36.57,7266,77,25
43.82,50.99,9862,71,25
43.30,45.07,8957,72,25
43.91,49.05,8834,74,25
44.10,36.38,6429,69,25
44.10,36.69,6622,72,25
44.39,31.81,5316,72,25
43.51,52.84,9983,74,25
43.81,46.28,9921,72,25
44.40,39.49,7549,77,25
44.15,48.20,9583,70,25
44.36,47.15,9715,71,25
43.87,37.44,7130,71,25
43.63,49.25,9797,73,25
43.91,43.11,8385,79,25
43.83,36.07,6995,76,25
44.44,51.10,9933,74,25
43.77,48.89,9627,76,25
44.30,42.23,8048,70,25
43.86,50.31,9963,79,25
44.33,42.77,7911,74,25
43.95,40.37,7733,73,25
44.17,41.55,7332,72,25
44.14,38.17,7952,71,25
43.67,49.13,9203,84,25
43.39,48.76,8183,76,25
44.01,54.00,9801,73,25
43.61,37.41,6737,75,25
43.84,50.62,9894,75,25
44.06,44.43,7841,80,24
44.00,43.04,7970,72,25
44.46,45.42,8952,80,25
44.12,42.78,7856,70,25
44.09,42.03,7628,72,25
44.34,36.96,6902,73,25
44.27,44.35,8411,74,25
44.57,31.83,5019,72,25
44.39,39.68,7609,74,25
44.01,42.49,8783,75,25
44.36,40.64,8283,78,25
44.41,40.65,7937,81,25
44.11,43.65,8437,74,25
44.58,49.27,9985,70,25
43.93,47.37,9237,78,25
44.04,48.17,9871,80,25
44.26,47.53,9533,77,25
44.31,39.14,7285,72,25
44.16,37.97,6850,77,25
44.28,36.92,7222,72,25
44.95,48.90,9790,74,25
44.36,35.08,6124,71,25
44.24,45.49,9110,75,25
44.17,39.39,8174,73,25
44.53,36.79,7377,76,25
44.02,42.51,7939,75,25
43.97,28.34,7215,78,25
44.38,38.43,6828,72,25
44.05,48.14,9725,71,25
44.13,49.68,9464,77,25
44.34,41.09,7776,76,24
44.56,42.30,8596,75,25
44.18,39.26,7418,75,25
44.19,39.40,7764,76,25
44.67,35.33,6573,76,24
44.60,38.26,7312,77,25
44.15,50.53,9881,78,25
44.51,41.94,8176,79,25
43.97,51.59,9888,78,25
44.12,43.37,8782,82,25
44.23,45.82,8417,85,25
43.76,41.05,8016,74,25
44.02,45.48,9802,75,25
44.22,41.87,7743,76,25
43.98,40.70,7890,77,25
44.25,35.39,6381,77,25
44.23,44.62,8294,72,25
44.29,37.68,6735,74,25
43.84,42.47,8020,77,24
44.00,40.29,7970,80,25
44.04,45.72,9501,82,23
44.34,34.64,6520,76,25
44.87,37.92,7281,76,25
43.92,39.04,8287,73,25
44.36,42.18,9434,77,25
44.12,41.48,8019,77,25
44.60,35.77,9965,78,24
44.31,48.64,9722,75,25
43.75,35.00,7369,76,24
44.29,43.08,8088,83,25
44.65,32.43,6062,76,24
44.47,38.70,8391,72,25
44.09,44.95,9076,75,25
44.23,43.07,8709,70,25
43.71,37.44,7241,77,25
43.95,38.16,7367,89,25
43.90,43.51,8966,81,25
43.83,42.79,8861,78,25
43.72,37.74,7655,73,25
44.16,38.58,7237,80,23
44.03,31.00,5962,78,24
44.11,39.27,7811,73,25
44.20,29.10,5278,75,25
44.03,37.11,7375,71,25
43.54,48.96,9925,82,25
43.96,37.65,7752,78,25
44.14,32.30,5819,77,25
43.71,37.88,7334,79,25
43.79,31.53,5919,68,25
43.65,37.78,8075,79,25
43.60,41.36,8437,76,25
43.65,49.31,9998,77,25
44.13,30.37,5237,72,25
43.87,34.55,7376,74,25
43.75,45.58,9828,77,25
43.71,41.15,7845,80,23
44.08,20.78,4787,73,25
43.87,40.74,8225,74,25
43.92,39.48,7382,71,25
43.69,42.13,8321,73,25
43.95,48.60,9988,78,25
44.59,38.08,7642,82,25
44.02,38.93,7340,81,25
43.81,36.47,7093,79,25
43.53,33.60,6519,76,25
43.86,40.73,7807,76,25
43.76,40.03,7907,78,25
44.00,31.49,6049,76,25
43.89,36.09,6679,82,25
44.43,43.95,8327,75,25
44.35,53.04,9549,88,25
44.22,41.93,8473,73,25
43.97,37.56,7677,72,25
43.84,30.49,4901,75,25
43.75,45.75,9322,83,25
44.11,35.46,7057,71,25
43.83,37.32,6631,73,25
43.72,43.67,8659,72,25
43.27,52.00,9604,79,25
43.86,47.93,9666,77,25
44.05,34.37,7080,72,25
44.46,42.15,8300,80,25
43.96,41.86,8533,76,25
43.81,32.55,6859,73,25
43.68,44.91,9830,81,25
43.87,33.62,6207,73,25
43.80,33.76,7911,83,25
43.76,43.76,8905,75,25
44.01,34.15,6579,81,24
43.92,31.09,5466,73,25
43.92,33.49,6764,81,25
44.90,32.43,5950,75,25
43.54,34.21,6457,78,25
43.91,41.05,8261,73,25
43.76,44.64,8756,78,25
43.83,45.40,9070,76,25
44.22,35.99,7293,79,25
43.55,43.85,8274,80,25
43.36,37.95,6737,75,23
43.92,34.05,6463,74,25
43.40,37.88,7202,74,25
43.21,46.13,9152,79,25
44.06,39.57,7996,73,25
43.59,32.51,5931,78,24
43.68,39.18,7404,73,25
43.38,41.84,8597,75,24
43.41,42.23,8440,81,25
43.48,47.26,9505,82,25
43.49,46.15,9301,78,25
43.82,33.41,6402,68,25
43.33,39.45,7558,71,25
43.69,31.43,5426,69,25
43.53,34.99,6366,83,25
43.63,43.28,9972,79,25
44.36,31.10,6159,70,25
43.41,42.86,7941,77,24
43.56,34.40,6452,71,25
44.03,26.38,4522,70,25
43.92,44.87,8678,76,25
44.21,35.57,6679,75,25
43.89,27.83,4437,65,25
44.20,30.28,5549,72,25
43.72,43.38,8750,77,25
43.69,42.16,8337,80,25
