F,t,#ev,,ap
43.39,68.67,9997,67,25
43.45,64.90,9990,67,25
43.50,66.80,9800,70,25
44.02,58.96,8459,64,25
43.54,61.70,9948,67,25
43.43,60.76,9835,68,25
43.48,66.24,9809,64,25
43.61,68.45,9932,66,25
43.42,66.91,9951,68,25
44.02,62.24,9967,64,25
43.61,65.29,9967,68,25
43.43,64.92,9323,68,25
43.64,65.20,9954,69,25
43.67,64.78,9596,69,25
43.49,64.43,9915,63,25
43.96,60.35,9817,66,25
43.32,65.80,9965,67,25
43.56,69.20,9960,69,25
43.76,60.69,9983,64,25
43.52,65.85,9858,66,25
43.55,52.68,8569,67,25
43.47,61.07,8697,65,25
44.21,62.76,9906,62,25
43.43,68.50,9992,66,25
43.73,65.64,9980,69,25
43.38,64.25,9899,68,25
43.89,69.37,9951,63,25
43.36,68.57,9998,74,24
43.33,64.71,9986,76,25
43.53,68.69,9998,72,25
43.90,66.67,9901,71,25
43.66,66.73,9869,68,25
43.47,65.14,9969,71,25
43.73,70.95,9998,67,25
44.03,67.49,9937,72,25
43.85,65.43,9776,64,25
43.69,65.52,9840,72,25
44.10,70.45,9953,68,25
43.75,64.00,9947,66,25
43.80,60.17,9995,70,25
44.08,67.35,9998,66,25
43.65,67.71,9985,68,25
43.74,67.42,9859,68,25
43.82,64.16,9488,67,25
43.72,66.02,9908,71,25
44.76,63.84,9988,66,25
43.84,66.09,9994,73,25
44.18,65.94,9637,68,25
43.92,62.14,9953,66,25
43.73,65.94,9860,70,25
43.82,56.11,9992,69,24
44.25,65.50,9875,65,25
43.83,65.94,9995,70,25
44.28,66.05,9852,67,25
44.35,63.09,9348,69,25
43.69,61.79,9845,67,25
44.35,67.12,9965,65,25
43.52,65.69,9924,69,25
44.30,66.87,9838,73,25
44.57,67.40,9943,71,25
44.36,67.61,9850,66,25
44.46,65.52,9984,67,25
44.07,65.39,9990,71,25
44.16,64.08,9841,69,25
44.14,67.60,9848,70,25
44.64,64.10,9877,67,25
44.32,61.73,9752,68,25
44.52,63.47,9950,67,25
43.88,66.31,9997,74,25
43.83,60.59,9358,69,25
44.74,65.24,9965,77,25
44.63,63.14,9387,69,25
44.48,66.27,9957,69,25
44.80,64.27,9880,70,25
44.93,63.01,9570,69,25
44.64,63.46,9818,68,25
44.09,62.50,8855,70,25
44.21,64.10,9979,69,24
44.37,57.17,9843,67,25
43.80,65.69,9820,76,25
44.41,51.45,9940,70,25
44.50,67.23,9970,69,25
44.01,62.00,8551,71,25
44.10,60.54,8428,75,25
44.03,64.71,9726,68,25
44.63,66.28,9745,69,25
44.32,63.80,9973,67,25
44.49,65.44,9975,67,25
44.39,66.92,9954,69,24
44.27,67.10,9856,71,25
43.78,67.31,9768,71,25
44.05,65.22,9980,68,25
43.97,65.54,9989,71,25
44.37,68.59,9974,67,25
43.84,66.97,9998,77,25
44.43,65.89,9956,72,25
44.46,65.57,9953,73,25
44.34,64.52,9959,68,25
44.19,64.06,9422,74,25
44.07,59.14,8992,67,25
44.28,65.77,9619,71,25
44.73,70.98,9982,65,25
43.97,60.68,9522,68,25
43.96,61.96,9997,73,25
43.96,63.66,9982,74,24
44.11,67.21,9940,68,25
43.93,63.01,9486,75,25
44.12,67.00,9989,69,25
43.79,59.54,9963,73,25
44.12,70.00,9988,73,25
44.14,57.54,9823,76,25
43.97,67.46,9986,70,25
44.21,65.69,9822,69,25
44.29,65.64,9984,68,25
44.24,61.70,9212,68,25
44.05,64.96,9988,71,25
44.59,66.97,9946,69,25
44.45,65.19,9951,69,25
43.77,64.01,9955,77,25
43.75,66.09,9989,73,25
44.87,69.30,9999,68,25
43.58,66.34,9934,71,25
43.60,65.23,9981,73,25
43.64,65.42,9717,68,25
43.88,64.85,9953,70,25
43.98,64.57,9992,66,25
43.85,66.90,9977,71,25
43.54,63.47,9911,74,25
43.79,67.38,9979,67,25
43.81,67.14,9945,71,25
43.64,63.59,9986,67,25
43.76,63.88,9932,66,25
44.03,63.54,9673,66,25
43.52,64.13,9950,73,25
43.91,65.78,9902,65,25
44.25,64.56,9980,68,25
43.53,64.40,9990,70,25
43.73,70.43,9834,66,25
43.60,57.83,9780,70,25
44.00,64.99,9857,70,25
43.80,47.03,9581,70,25
44.30,65.05,9930,73,25
44.07,67.64,9814,69,25
44.09,68.08,9805,66,25
43.86,66.30,9857,71,25
43.50,65.97,9990,71,25
43.81,65.79,9986,73,25
43.74,64.03,9963,72,25
43.74,71.06,9984,70,25
44.05,60.23,8666,65,25
44.05,65.62,9972,67,25
43.32,65.47,9999,69,25
43.61,61.77,8990,69,25
43.69,62.13,8982,67,25
43.57,65.00,9922,73,25
43.77,63.33,9908,66,25
43.70,65.83,9847,70,25
43.68,60.58,8992,67,25
43.40,60.32,9912,69,25
44.07,62.74,9948,68,25
43.58,71.25,9999,67,25
43.78,67.81,9989,66,25
43.96,64.91,9760,68,25
43.36,66.63,9882,73,25
43.58,57.52,7955,66,25
43.43,66.39,9996,71,25
43.64,60.65,8797,64,25
43.84,64.85,9920,65,25
43.51,61.50,9841,68,25
43.30,67.62,9925,72,25
43.24,59.16,9897,71,25
43.88,61.38,9725,64,25
44.37,63.30,9204,65,25
43.61,68.51,9921,68,25
43.30,68.75,9817,76,25
43.36,61.13,9941,70,25
43.70,66.29,9945,72,25
43.23,66.50,9973,73,25
43.83,62.39,9787,66,25
43.45,59.23,7948,65,25
43.57,69.78,9983,67,25
43.95,58.52,8684,65,25
43.64,67.67,9985,66,25
43.77,55.74,7387,63,25
43.63,67.49,9886,76,25
43.62,65.58,9996,75,24
43.36,64.75,9974,67,25
43.45,63.54,9871,69,25
43.39,64.69,9816,66,25
43.29,63.02,9711,70,25
43.47,67.77,9486,70,25
43.42,62.91,9425,71,25
43.38,62.88,9835,69,25
43.61,61.24,9916,64,25
43.39,62.56,9977,68,25
43.53,64.19,9977,66,25
43.81,67.64,9975,62,25
43.62,65.12,9539,69,25
43.60,62.01,9999,71,25
43.60,64.38,8929,67,25
43.74,50.91,9897,65,25
43.47,63.20,9790,68,25
43.76,63.93,9994,71,24
43.20,66.62,9992,68,24
43.43,73.55,9818,72,25
43.27,65.54,9817,68,25
43.34,67.07,9870,67,25
43.61,65.19,9989,66,24
