F,t,#ev,,ap
44.0207,57.1097,10000,92,25
43.9113,52.9051,10000,85,25
43.4154,69.9081,10000,87,25
44.1169,59.0967,10000,89,24
43.7399,55.2159,10000,97,23
43.6342,55.0122,10000,88,25
43.2751,63.0798,10000,93,25
43.2011,56.0663,10000,92,24
43.2267,59.4777,10000,88,25
43.2185,55.7162,10000,90,25
44.0437,53.3542,10000,95,24
43.498,51.5504,10000,85,25
43.6348,64.5953,10000,91,25
43.4694,52.423,10000,93,25
43.9591,58.4634,10000,91,25
43.4708,59.2667,10000,97,25
43.8417,55.7082,10000,93,24
43.6505,57.7031,10000,96,24
43.5045,55.2666,10000,89,24
44.2621,59.7547,10000,90,25
43.5102,63.8401,10000,86,25
43.5442,57.0724,10000,88,25
44.6328,60.7513,10000,94,25
43.2214,58.9258,10000,84,24
43.9768,53.023,10000,86,24
44.0547,57.8674,10000,84,25
43.0541,51.8298,10000,92,25
43.6179,60.0005,10000,92,24
43.32,58.4949,10000,91,25
44.3752,54.2436,10000,97,25
43.7467,53.5831,10000,97,25
43.885,59.6765,10000,88,25
43.9485,61.761,10000,90,24
43.9753,54.3991,10000,92,25
44.2311,51.2379,10000,88,25
43.8202,57.291,10000,87,25
44.5311,63.3894,10000,95,25
43.922,54.6328,10000,90,25
43.8743,63.4551,10000,90,25
43.6265,61.6421,10000,92,25
43.7805,61.34,10000,83,25
43.6028,68.6104,10000,88,25
44.2399,63.5083,10000,90,25
43.614,54.8288,10000,87,25
43.9307,60.8817,10000,90,25
43.8512,52.7658,10000,91,25
43.7013,55.9073,10000,86,23
44.022,59.4604,10000,89,25
43.5556,54.2694,10000,84,24
43.4894,54.6274,10000,81,24
43.7207,56.4687,10000,84,24
43.9381,55.0976,10000,92,25
43.4559,52.6849,10000,89,25
43.9443,55.7854,10000,88,25
43.9937,63.9218,10000,87,24
44.3164,55.1437,10000,98,25
43.9559,64.2408,10000,89,24
44.3629,63.6599,10000,92,25
43.7561,55.5541,10000,84,24
43.9068,64.6209,10000,86,25
43.7106,52.0642,10000,91,24
43.52,52.8843,10000,95,25
44.1684,59.1058,10000,87,24
44.2982,58.8334,10000,88,25
43.7565,54.8418,10000,90,25
44.1179,56.6431,10000,93,25
44.4485,54.195,10000,88,25
43.6678,55.6294,10000,91,25
43.9998,59.0947,10000,88,25
43.6414,58.0939,10000,91,25
43.8086,66.8398,10000,93,24
44.3431,59.769,10000,96,25
44.1191,60.4278,10000,89,25
43.7075,55.8658,10000,90,25
43.817,52.7184,10000,89,24
43.7943,56.5985,10000,95,25
44.033,57.8939,10000,88,24
43.9083,55.8574,10000,91,25
44.127,59.3922,10000,86,25
43.8098,57.7087,10000,96,25
43.714,53.7828,10000,93,25
43.7925,59.8597,10000,82,24
44.3126,56.1395,10000,94,25
44.3212,60.5094,10000,99,25
44.2259,69.899,10000,93,25
44.7876,67.4815,10000,93,25
44.0662,59.4235,10000,85,25
44.244,50.8973,10000,92,25
44.0033,55.9213,10000,92,24
44.3833,62.2777,10000,90,25
44.4555,58.4096,10000,88,25
44.0853,62.2105,10000,90,25
44.3433,66.0005,10000,88,24
44.4254,58.1227,10000,92,25
44.3134,58.975,10000,86,24
44.2892,60.9729,10000,94,24
44.4931,55.4716,10000,95,25
43.8829,58.6,10000,92,24
44.1512,65.0272,10000,89,25
44.5691,55.6551,10000,90,25
44.8949,52.6312,10000,95,24
44.4288,50.3205,10000,95,25
43.7146,59.0388,10000,83,25
44.819,45.8716,10000,89,25
43.9504,58.4236,10000,92,25
44.2809,52.264,10000,91,25
44.5224,59.8356,10000,85,25
44.7456,57.1668,10000,93,25
44.4846,60.4689,10000,91,25
44.1057,58.5798,10000,88,25
44.8142,58.9858,10000,92,25
44.3914,52.6655,10000,91,25
44.1552,58.4299,10000,93,25
43.9974,54.0499,10000,89,25
44.3803,55.1718,10000,90,25
45.2024,54.1115,10000,94,24
44.3349,68.7706,10000,91,24
45.2249,63.7423,10000,90,25
43.9905,57.683,10000,93,25
44.206,71.3456,10000,91,24
43.9324,57.7382,10000,88,25
44.2833,56.8454,10000,95,25
44.2447,53.718,10000,88,25
43.9177,64.1906,10000,89,25
44.6715,53.352,10000,93,25
