F,t,#ev,,ap
49.73,230.22,9905,57,25
47.15,230.35,9998,62,25
51.76,143.29,5489,57,25
48.21,219.57,9860,58,25
48.06,228.57,9723,58,25
47.15,238.93,8988,60,25
48.41,222.44,9831,58,25
50.31,152.55,6944,56,25
48.58,225.74,9932,59,25
48.65,231.43,9922,59,25
47.33,243.11,9786,61,25
48.11,228.36,9893,59,25
46.83,229.93,9736,60,25
47.31,222.08,9687,59,25
48.42,222.75,9943,56,25
47.32,237.77,9772,60,25
49.74,175.56,7781,54,25
50.21,210.94,9613,60,25
50.36,212.07,9969,59,25
50.15,219.07,9790,58,25
48.96,155.91,7418,58,25
48.35,204.67,9235,59,25
48.39,222.54,9937,60,25
47.20,237.43,9985,60,25
48.25,218.63,9730,59,25
50.45,188.37,8380,58,25
47.50,230.80,9945,58,25
47.08,232.85,9890,60,25
50.15,204.18,9073,59,25
49.12,231.18,9999,58,25
49.51,228.30,9567,57,25
50.02,190.33,8354,58,25
48.42,228.52,9985,61,25
47.90,246.83,9990,60,25
48.10,228.33,9927,58,25
49.14,227.21,9871,58,25
48.55,215.33,9214,59,25
49.05,233.95,9850,57,25
49.86,236.75,9994,60,25
48.75,222.22,9446,61,25
49.36,212.65,9651,58,25
49.90,217.24,9840,58,25
50.08,217.67,9837,57,25
48.02,225.83,9906,59,25
49.69,214.45,9720,56,25
48.18,239.61,9914,59,25
49.35,224.54,9927,55,25
49.40,224.32,9781,60,25
48.66,216.81,9956,59,25
50.00,215.84,9973,59,25
49.47,205.74,9807,58,25
51.07,225.48,9972,58,25
53.54,162.02,7656,57,25
49.86,235.08,9915,60,25
48.50,232.32,9966,59,25
50.78,224.16,9998,58,25
50.16,217.84,9976,56,25
48.14,243.58,9818,60,25
49.47,225.58,9943,60,25
49.78,233.57,9934,59,25
49.56,225.68,9812,59,25
52.14,224.19,9730,57,25
48.41,220.00,9717,60,25
49.06,228.64,9876,59,25
51.42,153.87,6808,55,25
51.06,233.50,9830,58,25
51.01,145.43,6148,58,25
49.09,235.19,9930,60,25
50.56,225.37,9991,59,25
48.78,227.50,9882,59,25
49.50,232.77,9976,58,25
48.88,239.62,9999,61,25
48.67,231.37,9941,58,25
49.34,225.03,9950,59,25
50.12,219.54,9935,56,25
48.93,226.63,9950,58,25
49.23,214.40,9552,54,25
48.83,218.82,9938,62,25
50.64,217.35,9875,58,25
49.08,209.00,9419,60,25
50.00,141.94,9658,58,25
52.13,217.67,9960,57,25
49.40,232.56,9730,60,25
49.99,239.95,9975,61,25
51.26,168.43,7078,57,25
50.55,225.63,9943,57,25
49.87,217.12,9726,58,25
48.89,248.06,9846,62,25
48.30,229.46,9804,61,25
50.25,212.04,9642,58,25
49.07,218.47,9880,57,25
50.45,215.97,9926,57,25
50.79,144.93,6333,60,25
49.00,200.21,8421,56,25
49.35,211.15,9664,57,25
50.43,215.22,8730,59,25
50.19,159.95,6445,58,25
48.21,229.90,9964,61,25
49.58,219.20,9807,59,25
51.31,231.60,9846,59,25
50.66,141.21,5909,59,25
48.37,219.14,9872,59,25
48.17,235.85,9973,59,25
49.69,217.10,9904,58,25
50.24,229.90,9883,57,25
48.78,227.30,9969,60,25
48.00,208.68,9138,56,25
47.96,230.75,9896,60,25
47.71,218.83,9935,59,25
49.54,179.72,7742,59,25
48.84,197.44,9980,59,25
48.52,237.47,9961,61,25
50.83,217.05,9871,60,25
48.51,224.32,9882,62,25
51.81,130.86,5544,56,25
49.23,203.93,8622,58,25
48.78,210.78,9926,57,25
50.49,190.57,8516,60,25
47.55,225.70,9645,58,25
46.99,220.32,9825,59,25
49.38,187.43,8096,58,25
47.57,160.59,6541,59,25
48.47,209.83,8741,61,25
49.43,229.57,9744,58,25
46.93,220.49,9926,59,25
48.95,162.11,6925,58,25
47.94,224.49,9792,60,25
47.88,211.87,9660,61,25
47.64,223.05,9976,59,25
48.62,223.38,9897,60,25
48.50,228.55,9927,60,25
48.49,154.91,7035,59,25
48.81,220.14,9820,58,25
47.33,190.95,8366,58,25
47.91,227.97,9717,59,25
47.27,214.07,9418,59,25
47.93,232.68,9839,57,25
47.87,213.96,9338,59,25
48.80,164.56,8019,58,25
47.78,225.50,9946,60,25
48.49,84.15,6534,58,25
47.21,227.24,9874,59,25
48.83,199.78,9213,59,25
49.71,215.80,9939,57,25
47.23,228.56,9996,57,25
46.77,220.76,9098,61,25
47.29,238.20,9978,58,25
48.07,206.11,9182,59,25
47.11,234.50,9987,58,25
48.79,213.15,9897,58,25
50.00,216.72,9912,59,25
47.13,226.82,9998,58,25
47.29,213.43,9409,60,25
46.86,216.99,9646,60,25
49.52,207.46,9710,60,25
48.29,236.09,9016,63,25
47.79,204.34,9686,58,25
49.53,177.59,8269,57,25
49.31,218.82,9914,58,25
48.85,217.12,9770,59,25
48.50,159.84,7141,57,25
47.05,220.00,9849,58,25
47.70,218.17,9969,60,25
48.53,228.93,9807,60,25
47.22,222.83,9948,61,25
48.74,151.67,6979,56,25
48.61,171.97,7333,60,25
48.49,220.23,9709,58,25
47.56,188.38,9102,60,25
49.25,221.55,9897,58,25
46.86,199.95,9825,60,25
48.49,231.02,9997,60,25
47.28,203.26,8984,58,25
47.47,213.08,9584,58,25
47.04,213.31,9950,59,25
49.33,151.93,6344,57,25
47.18,213.45,9779,59,25
47.48,197.04,8811,58,25
47.07,228.15,9979,58,25
47.35,223.18,9905,59,25
47.06,248.12,9879,59,25
50.42,153.48,6433,55,25
47.29,188.93,8424,60,25
49.56,184.68,7473,57,25
48.60,225.14,9923,59,25
46.15,224.70,9963,60,25
46.65,232.45,9957,61,25
47.93,199.67,8914,58,25
48.14,208.93,9133,57,25
48.59,155.07,6689,56,25
47.66,174.51,7565,59,25
48.12,170.66,7719,58,25
48.71,213.62,9592,58,25
47.02,233.90,9984,59,25
46.81,220.40,9990,59,25
47.49,211.51,9361,58,25
47.80,205.13,8796,58,25
48.30,222.93,9988,57,25
47.48,207.90,9752,59,25
47.69,215.85,9556,59,25
50.24,81.54,4447,57,25
47.56,227.95,9868,58,25
47.37,222.27,9573,59,25
48.86,202.68,9492,59,25
46.20,236.70,9968,58,25
48.07,193.18,8195,59,25
47.11,184.10,8128,58,25
47.35,205.71,9546,58,25
